Nation Number,Product Category,,,,,,,,,,,,,,,,,,,
,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120
10,18,12,108,402,48,140,108,38,22,43,16,24,12,7,17,8,6,12,184,297
11,21,18,175,670,68,258,187,60,55,89,33,54,21,21,32,10,8,25,287,551
12,6,5,41,157,13,55,39,10,9,16,8,17,8,2,7,3,3,9,69,113
13,363,190,2374,9235,1073,1175,2528,908,546,1059,565,687,262,206,544,178,149,318,3941,7301
14,28,10,223,861,78,314,244,81,44,102,54,57,16,13,41,14,21,45,356,710
15,12,4,59,170,23,63,54,13,8,22,7,14,4,2,10,5,3,3,89,169
16,16,16,142,550,59,226,164,43,43,61,33,44,14,9,40,16,11,16,273,440
17,14,7,72,293,36,108,76,29,15,39,23,25,8,5,12,5,9,8,134,245
18,22,10,160,590,85,258,191,56,38,68,37,49,16,13,29,11,20,20,289,486
19,34,18,176,624,68,252,165,66,35,79,35,61,21,13,35,10,10,25,269,496
20,317,169,2393,8201,1038,13805,2238,785,518,985,466,645,244,155,507,150,165,346,3712,6645
21,57,27,386,1471,182,590,417,140,82,203,87,122,45,43,96,23,38,58,661,1257
22,13,9,100,349,31,129,102,32,27,35,22,26,9,5,15,10,9,24,162,285
23,34,11,170,618,70,233,159,68,32,76,29,34,15,9,46,12,11,18,269,483
24,1,2,6,38,4,12,8,2,2,2,1,2,1,0,5,0,0,5,14,18
25,13,5,68,224,24,93,52,32,13,31,14,22,9,7,12,5,3,4,97,172
26,9,4,54,181,18,72,49,17,12,15,6,11,6,4,17,6,3,11,80,135
27,42,14,265,926,116,392,278,102,54,122,61,74,32,20,54,21,19,36,442,781
28,3,2,19,79,9,31,22,13,6,9,2,4,3,1,5,1,0,0,41,58
29,97,30,516,1976,209,726,487,169,115,230,139,146,39,35,119,33,41,65,797,1511
30,389,215,3139,15996,1318,4508,3117,1153,675,1347,674,818,271,226,680,201,231,421,4803,4011
31,13,3,52,211,23,73,60,28,17,19,12,12,6,2,11,6,6,12,92,144
32,4,2,44,124,15,58,49,14,8,20,11,13,4,2,9,4,2,4,65,104
33,189,102,1378,4820,540,4442,1330,500,296,551,304,387,130,96,281,109,95,194,2128,4026
34,0,2,13,44,9,24,17,8,6,5,6,4,3,1,4,1,1,1,18,43
35,14,11,123,458,64,182,123,43,19,56,18,35,5,9,25,6,8,21,171,379
36,124,56,915,3257,400,1330,936,335,194,409,196,293,99,59,194,55,77,137,1435,2751
37,102,49,773,2798,300,1113,781,294,162,334,147,248,74,58,172,57,55,127,1250,2302
38,1,2,14,46,2,25,15,4,3,5,3,3,2,1,2,1,0,2,22,34
39,12,3,64,309,32,110,61,25,12,35,17,26,6,7,21,3,7,11,118,212
40,13,7,143,430,58,188,124,58,31,59,26,47,16,10,26,7,11,13,183,379
41,22,8,170,542,73,228,158,41,22,64,40,30,11,8,33,9,6,25,239,426
42,1,1,33,91,15,46,25,4,6,9,5,6,2,0,5,2,2,5,45,76
43,206,105,1602,5605,664,2241,1606,579,309,715,326,422,157,101,328,110,114,225,2536,4529
44,4,3,45,124,15,58,42,14,9,21,9,13,2,3,6,0,2,7,56,136
45,47,27,226,885,89,326,247,87,44,94,43,59,29,24,48,22,26,34,371,705
46,6,3,34,145,20,50,37,8,5,14,5,9,5,3,6,2,1,4,62,129
47,117,58,817,2984,349,1128,830,275,179,348,193,240,71,48,183,59,60,107,1216,2375
48,6,9,34,168,15,59,48,9,7,23,7,9,4,4,12,4,5,6,63,125
49,6,2,31,92,21,45,39,7,6,10,5,16,2,2,5,1,3,2,41,86
50,20,21,240,815,105,334,232,73,50,99,43,65,23,24,45,24,21,37,356,656
51,6,2,22,119,14,53,41,8,12,16,7,8,4,4,5,6,2,11,52,121
53,15,12,111,445,59,185,111,52,30,55,23,31,10,8,28,12,4,18,181,389
54,921,492,6669,23495,2852,21,6462,2345,1355,2767,1397,1819,727,437,1367,509,487,906,10572,19144
55,94,38,576,1981,241,800,574,179,118,235,140,158,55,45,137,52,46,73,908,1719
56,8,2,52,169,20,70,59,13,9,21,5,17,5,1,10,6,3,4,80,136
57,70,25,427,1415,171,564,436,153,80,179,81,122,39,35,86,27,28,51,621,1144
58,209,85,1264,4524,554,1820,1309,461,303,549,290,358,136,73,267,94,81,161,1962,3663
59,129,73,983,3557,441,0,1033,375,221,413,211,274,91,91,210,76,73,126,1554,2794
60,70,35,497,1745,192,703,527,173,114,184,117,136,44,41,102,38,40,70,826,1448
61,2,2,31,126,9,48,30,5,3,7,6,5,5,0,8,2,3,3,47,88
62,6,4,40,112,12,45,43,16,8,19,4,8,4,5,8,2,3,8,56,95
63,8,7,86,331,36,138,89,32,22,37,21,23,8,10,19,8,3,15,159,283
64,10,4,59,238,22,97,65,18,12,18,12,20,6,8,8,4,0,12,102,175
65,1,5,28,127,13,55,37,13,8,11,3,8,4,3,6,3,1,6,50,84
66,4,9,79,222,27,109,71,15,17,25,12,14,5,3,21,1,3,6,85,210
